Wall time,Step,Value
1778735683.5968485,17270,543.7147827148438
1778735695.0712566,17290,526.0853881835938
1778735729.3337884,17320,1163.70751953125
1778735748.5741222,17330,1163.8603515625
1778735761.639439,17340,1144.8743896484375
1778735775.2215052,17350,1388.080078125
1778735792.8715749,17360,3398.441162109375
1778735818.9015698,17380,1271.8023681640625
1778735848.68088,17400,2599.152099609375
1778736039.9822452,17430,6190.96435546875
1778736104.589619,17440,6235.15087890625
1778736231.9743881,17460,6407.462890625
1778736297.3335848,17470,6373.04296875
1778736362.2730455,17480,6457.1865234375
1778736505.0147486,17510,512.736083984375
1778736516.5128973,17530,507.46868896484375
1778736522.0975585,17540,504.6903991699219
1778736527.7602177,17550,532.9868774414062
1778736533.4124053,17560,501.4917907714844
1778736572.973165,17630,509.96636962890625
1778736578.8366427,17640,516.427734375
1778736595.8224404,17670,507.0703125
1778736625.038606,17720,535.13671875
1778736647.8513885,17760,512.8195190429688
1778736692.9038823,17820,941.3788452148438
1778736703.3303707,17830,907.4430541992188
1778736724.7784443,17850,1095.1683349609375
1778736766.7101362,17890,1109.2357177734375
1778736778.8886063,17900,1959.3948974609375
1778736802.0295064,17910,4777.240234375
1778736844.4956744,17930,1304.289794921875
1778736860.629472,17940,1314.513916015625
1778736876.6416798,17950,2099.385986328125
1778736936.8716733,17990,1169.68896484375
1778736978.3179345,18030,496.85455322265625
1778736989.604713,18050,520.529296875
